11
axoaxoniccell axoaxoniccell 1470 1 0
bistratifiedcell bistratifiedcell 2210 1 0
cckcell cckcell 3600 1 0
ivycell ivycell 8810 1 0
ngfcell ngfcell 3580 3 0
olmcell olmrichycell 1640 0 0
pyramidalcell poolosyncell 311500 1 0
pvbasketcell pvbasketcell 5530 1 0
scacell scacell 400 2 0
ca3cell ppspont 204700 2 1
eccell ppspont 250000 3 1
