t	v
0	-62.9601
0.1	-62.9601
0.2	-62.9601
0.3	-62.9601
0.4	-62.9601
0.5	-62.9601
0.6	-62.9601
0.7	-62.9601
0.8	-62.9601
0.9	-62.9601
1	-62.9601
1.1	-62.9601
1.2	-62.9601
1.3	-62.9601
1.4	-62.9601
1.5	-62.9601
1.6	-62.9601
1.7	-62.9601
1.8	-62.9601
1.9	-62.9601
2	-62.9601
2.1	-62.9601
2.2	-62.9601
2.3	-62.9601
2.4	-62.9601
2.5	-62.9601
2.6	-62.9601
2.7	-62.9601
2.8	-62.9601
2.9	-62.9601
3	-62.9601
3.1	-62.9601
3.2	-62.9601
3.3	-62.9601
3.4	-62.9601
3.5	-62.9601
3.6	-62.9601
3.7	-62.9601
3.8	-62.9601
3.9	-62.9601
4	-62.9601
4.1	-62.9601
4.2	-62.9601
4.3	-62.9601
4.4	-62.9601
4.5	-62.9601
4.6	-62.9601
4.7	-62.9601
4.8	-62.9601
4.9	-62.9601
5	-62.9601
5.1	-62.9601
5.2	-62.9601
5.3	-62.9601
5.4	-62.9601
5.5	-62.9601
5.6	-62.9601
5.7	-62.9601
5.8	-62.9601
5.9	-62.9601
6	-62.9601
6.1	-62.9601
6.2	-62.9601
6.3	-62.9601
6.4	-62.9601
6.5	-62.9601
6.6	-62.9601
6.7	-62.9601
6.8	-62.9601
6.9	-62.9601
7	-62.9601
7.1	-62.9601
7.2	-62.9601
7.3	-62.9601
7.4	-62.9601
7.5	-62.9601
7.6	-62.9601
7.7	-62.9601
7.8	-62.9601
7.9	-62.9601
8	-62.9601
8.1	-62.9601
8.2	-62.9601
8.3	-62.9601
8.4	-62.9601
8.5	-62.9601
8.6	-62.9601
8.7	-62.9601
8.8	-62.9601
8.9	-62.9601
9	-62.9601
9.1	-62.9601
9.2	-62.9601
9.3	-62.9601
9.4	-62.9601
9.5	-62.9601
9.6	-62.9601
9.7	-62.9601
9.8	-62.9601
9.9	-62.9601
10	-62.9601
10.1	-62.9601
10.2	-62.9601
10.3	-62.9601
10.4	-62.9601
10.5	-62.9601
10.6	-62.9601
10.7	-62.9601
10.8	-62.9601
10.9	-62.9601
11	-62.9601
11.1	-62.9601
11.2	-62.9601
11.3	-62.9601
11.4	-62.9601
11.5	-62.9601
11.6	-62.9601
11.7	-62.9601
11.8	-62.9601
11.9	-62.9601
12	-62.9601
12.1	-62.9601
12.2	-62.9601
12.3	-62.9601
12.4	-62.9601
12.5	-62.9601
12.6	-62.9601
12.7	-62.9601
12.8	-62.9601
12.9	-62.9601
13	-62.9601
13.1	-62.9601
13.2	-62.9601
13.3	-62.9601
13.4	-62.9601
13.5	-62.9601
13.6	-62.9601
13.7	-62.9601
13.8	-62.9601
13.9	-62.9601
14	-62.9601
14.1	-62.9601
14.2	-62.9601
14.3	-62.9601
14.4	-62.9601
14.5	-62.9601
14.6	-62.9601
14.7	-62.9601
14.8	-62.9601
14.9	-62.9601
15	-62.9601
15.1	-62.9601
15.2	-62.9601
15.3	-62.9601
15.4	-62.9601
15.5	-62.9601
15.6	-62.9601
15.7	-62.9601
15.8	-62.9601
15.9	-62.9601
16	-62.9601
16.1	-62.9601
16.2	-62.9601
16.3	-62.9601
16.4	-62.9601
16.5	-62.9601
16.6	-62.9601
16.7	-62.9601
16.8	-62.9601
16.9	-62.9601
17	-62.9601
17.1	-62.9601
17.2	-62.9601
17.3	-62.9601
17.4	-62.9601
17.5	-62.9601
17.6	-62.9601
17.7	-62.9601
17.8	-62.9601
17.9	-62.9601
18	-62.9601
18.1	-62.9601
18.2	-62.9601
18.3	-62.9601
18.4	-62.9601
18.5	-62.9601
18.6	-62.9601
18.7	-62.9601
18.8	-62.9601
18.9	-62.9601
19	-62.9601
19.1	-62.9601
19.2	-62.96
19.3	-62.96
19.4	-62.9599
19.5	-62.9598
19.6	-62.9598
19.7	-62.9596
19.8	-62.9595
19.9	-62.9594
20	-62.9592
20.1	-62.959
20.2	-62.9588
20.3	-62.9586
20.4	-62.9583
20.5	-62.958
20.6	-62.9578
20.7	-62.9575
20.8	-62.9571
20.9	-62.9568
21	-62.9565
21.1	-62.9561
21.2	-62.9557
21.3	-62.9553
21.4	-62.955
21.5	-62.9545
21.6	-62.9541
21.7	-62.9537
21.8	-62.9533
21.9	-62.9528
22	-62.9524
22.1	-62.952
22.2	-62.9515
22.3	-62.951
22.4	-62.9506
22.5	-62.9501
22.6	-62.9497
22.7	-62.9492
22.8	-62.9487
22.9	-62.9483
23	-62.9478
23.1	-62.9473
23.2	-62.9469
23.3	-62.9464
23.4	-62.9459
23.5	-62.9455
23.6	-62.945
23.7	-62.9445
23.8	-62.9441
23.9	-62.9436
24	-62.9432
24.1	-62.9427
24.2	-62.9423
24.3	-62.9418
24.4	-62.9414
24.5	-62.9409
24.6	-62.9405
24.7	-62.9401
24.8	-62.9397
24.9	-62.9392
25	-62.9388
25.1	-62.9384
25.2	-62.938
25.3	-62.9376
25.4	-62.9372
25.5	-62.9368
25.6	-62.9364
25.7	-62.936
25.8	-62.9357
25.9	-62.9353
26	-62.9349
26.1	-62.9346
26.2	-62.9342
26.3	-62.9338
26.4	-62.9335
26.5	-62.9331
26.6	-62.9326
26.7	-62.932
26.8	-62.9311
26.9	-62.9299
27	-62.9283
27.1	-62.9264
27.2	-62.9242
27.3	-62.9216
27.4	-62.9188
27.5	-62.9157
27.6	-62.9123
27.7	-62.9088
27.8	-62.9051
27.9	-62.9013
28	-62.8974
28.1	-62.8934
28.2	-62.8893
28.3	-62.8852
28.4	-62.8811
28.5	-62.877
28.6	-62.8729
28.7	-62.8689
28.8	-62.8648
28.9	-62.8609
29	-62.8569
29.1	-62.8531
29.2	-62.8493
29.3	-62.8456
29.4	-62.8419
29.5	-62.8384
29.6	-62.8349
29.7	-62.8315
29.8	-62.8282
29.9	-62.8249
30	-62.8218
30.1	-62.8188
30.2	-62.8158
30.3	-62.8129
30.4	-62.8101
30.5	-62.8074
30.6	-62.8048
30.7	-62.8023
30.8	-62.7999
30.9	-62.7975
31	-62.7953
31.1	-62.7931
31.2	-62.791
31.3	-62.789
31.4	-62.787
31.5	-62.7852
31.6	-62.7834
31.7	-62.7817
31.8	-62.78
31.9	-62.7785
32	-62.777
32.1	-62.7756
32.2	-62.7742
32.3	-62.773
32.4	-62.7718
32.5	-62.7706
32.6	-62.7695
32.7	-62.7685
32.8	-62.7676
32.9	-62.7667
33	-62.7658
33.1	-62.765
33.2	-62.7643
33.3	-62.7636
33.4	-62.763
33.5	-62.7624
33.6	-62.7619
33.7	-62.7615
33.8	-62.761
33.9	-62.7607
34	-62.7603
34.1	-62.7601
34.2	-62.7598
34.3	-62.7596
34.4	-62.7595
34.5	-62.7593
34.6	-62.7593
34.7	-62.7592
34.8	-62.7592
34.9	-62.7592
35	-62.7593
35.1	-62.7594
35.2	-62.7595
35.3	-62.7597
35.4	-62.7599
35.5	-62.7601
35.6	-62.7604
35.7	-62.7606
35.8	-62.761
35.9	-62.7613
36	-62.7616
36.1	-62.762
36.2	-62.7624
36.3	-62.7629
36.4	-62.7633
36.5	-62.7638
36.6	-62.7643
36.7	-62.7648
36.8	-62.7654
36.9	-62.7659
37	-62.7665
37.1	-62.7671
37.2	-62.7677
37.3	-62.7683
37.4	-62.769
37.5	-62.7696
37.6	-62.7703
37.7	-62.771
37.8	-62.7717
37.9	-62.7724
38	-62.7732
38.1	-62.7739
38.2	-62.7747
38.3	-62.7754
38.4	-62.7762
38.5	-62.777
38.6	-62.7778
38.7	-62.7786
38.8	-62.7794
38.9	-62.7802
39	-62.7811
39.1	-62.7819
39.2	-62.7828
39.3	-62.7836
39.4	-62.7845
39.5	-62.7854
39.6	-62.7863
39.7	-62.7872
39.8	-62.7881
39.9	-62.789
40	-62.7899
40.1	-62.7908
40.2	-62.7917
40.3	-62.7926
40.4	-62.7935
40.5	-62.7945
40.6	-62.7954
40.7	-62.7963
40.8	-62.7973
40.9	-62.7982
41	-62.7992
41.1	-62.8001
41.2	-62.8011
41.3	-62.802
41.4	-62.803
41.5	-62.8039
41.6	-62.8049
41.7	-62.8058
41.8	-62.8068
41.9	-62.8078
42	-62.8087
42.1	-62.8097
42.2	-62.8107
42.3	-62.8116
42.4	-62.8126
42.5	-62.8136
42.6	-62.8145
42.7	-62.8155
42.8	-62.8165
42.9	-62.8174
43	-62.8184
43.1	-62.8194
43.2	-62.8203
43.3	-62.8213
43.4	-62.8223
43.5	-62.8232
43.6	-62.8242
43.7	-62.8251
43.8	-62.8261
43.9	-62.827
44	-62.828
44.1	-62.829
44.2	-62.8299
44.3	-62.8309
44.4	-62.8318
44.5	-62.8328
44.6	-62.8337
44.7	-62.8346
44.8	-62.8356
44.9	-62.8365
45	-62.8375
45.1	-62.8384
45.2	-62.8393
45.3	-62.8402
45.4	-62.8412
45.5	-62.8421
45.6	-62.843
45.7	-62.8439
45.8	-62.8449
45.9	-62.8458
46	-62.8467
46.1	-62.8476
46.2	-62.8485
46.3	-62.8494
46.4	-62.8503
46.5	-62.8512
46.6	-62.8521
46.7	-62.853
46.8	-62.8538
46.9	-62.8547
47	-62.8556
47.1	-62.8565
47.2	-62.8574
47.3	-62.8582
47.4	-62.8591
47.5	-62.8599
47.6	-62.8608
47.7	-62.8617
47.8	-62.8625
47.9	-62.8634
48	-62.8642
48.1	-62.865
48.2	-62.8659
48.3	-62.8667
48.4	-62.8675
48.5	-62.8684
48.6	-62.8692
48.7	-62.87
48.8	-62.8708
48.9	-62.8716
49	-62.8725
49.1	-62.8733
49.2	-62.8741
49.3	-62.8749
49.4	-62.8756
49.5	-62.8764
49.6	-62.8772
49.7	-62.878
49.8	-62.8788
49.9	-62.8796
50	-62.8803
50.1	-62.8811
50.2	-62.8819
50.3	-62.8826
50.4	-62.8834
50.5	-62.8841
50.6	-62.8849
50.7	-62.8856
50.8	-62.8864
50.9	-62.8871
51	-62.8878
51.1	-62.8886
51.2	-62.8893
51.3	-62.89
51.4	-62.8907
51.5	-62.8914
51.6	-62.8921
51.7	-62.8928
51.8	-62.8936
51.9	-62.8942
52	-62.8949
52.1	-62.8956
52.2	-62.8963
52.3	-62.897
52.4	-62.8977
52.5	-62.8984
52.6	-62.899
52.7	-62.8997
52.8	-62.9004
52.9	-62.901
53	-62.9017
53.1	-62.9023
53.2	-62.903
53.3	-62.9036
53.4	-62.9043
53.5	-62.9049
53.6	-62.9055
53.7	-62.9062
53.8	-62.9068
53.9	-62.9074
54	-62.908
54.1	-62.9086
54.2	-62.9093
54.3	-62.9099
54.4	-62.9105
54.5	-62.9111
54.6	-62.9117
54.7	-62.9123
54.8	-62.9128
54.9	-62.9134
55	-62.914
55.1	-62.9146
55.2	-62.9152
55.3	-62.9157
55.4	-62.9163
55.5	-62.9169
55.6	-62.9174
55.7	-62.918
55.8	-62.9185
55.9	-62.9191
56	-62.9196
56.1	-62.9202
56.2	-62.9207
56.3	-62.9213
56.4	-62.9218
56.5	-62.9223
56.6	-62.9228
56.7	-62.9234
56.8	-62.9239
56.9	-62.9244
57	-62.9249
57.1	-62.9254
57.2	-62.9259
57.3	-62.9264
57.4	-62.9269
57.5	-62.9274
57.6	-62.9279
57.7	-62.9284
57.8	-62.9289
57.9	-62.9294
