0	0
0.5	5.21122e-06
1	5.21122e-06
1.5	5.21122e-06
2	5.21122e-06
2.5	5.21122e-06
3	5.21122e-06
3.5	5.21122e-06
4	5.21122e-06
4.5	5.21122e-06
5	5.21122e-06
5.5	5.21122e-06
6	5.21122e-06
6.5	5.21122e-06
7	5.21122e-06
7.5	5.21122e-06
8	5.21122e-06
8.5	5.21122e-06
9	5.21122e-06
9.5	5.21122e-06
10	5.21122e-06
10.5	5.21122e-06
11	5.21122e-06
11.5	5.21122e-06
12	5.21122e-06
12.5	5.21122e-06
13	5.21122e-06
13.5	5.21122e-06
14	5.21122e-06
14.5	5.21122e-06
15	5.21122e-06
15.5	5.21122e-06
16	5.21122e-06
16.5	5.21122e-06
17	5.21122e-06
17.5	5.21122e-06
18	5.23551e-06
18.5	5.20621e-06
19	5.021e-06
19.5	4.84964e-06
20	4.73423e-06
20.5	4.66897e-06
21	4.63973e-06
21.5	4.63434e-06
22	4.64402e-06
22.5	4.66282e-06
23	4.68676e-06
23.5	4.71325e-06
24	4.74058e-06
24.5	4.76764e-06
25	4.79374e-06
25.5	4.81846e-06
26	4.84156e-06
26.5	4.47695e-06
27	3.76012e-06
27.5	3.37799e-06
28	3.24294e-06
28.5	3.24952e-06
29	3.32849e-06
29.5	3.44163e-06
30	3.56672e-06
30.5	3.69241e-06
31	3.81243e-06
31.5	3.92406e-06
32	4.02612e-06
32.5	4.11853e-06
33	4.20163e-06
33.5	4.27611e-06
34	4.34267e-06
34.5	4.4021e-06
35	4.45514e-06
35.5	4.50249e-06
36	4.5448e-06
36.5	4.58264e-06
37	4.61654e-06
37.5	4.64697e-06
38	4.67435e-06
38.5	4.69905e-06
39	4.72138e-06
39.5	4.74164e-06
40	4.76007e-06
40.5	4.77691e-06
41	4.79233e-06
41.5	4.80652e-06
42	4.81962e-06
42.5	4.83175e-06
43	4.84304e-06
43.5	4.85359e-06
44	4.86347e-06
44.5	4.87277e-06
45	4.88155e-06
45.5	4.88986e-06
46	4.89777e-06
46.5	4.90531e-06
47	4.91252e-06
47.5	4.91944e-06
48	4.92609e-06
48.5	4.9325e-06
49	4.93869e-06
49.5	4.94469e-06
50	4.9505e-06
50.5	4.95615e-06
51	4.96164e-06
51.5	4.96699e-06
52	4.97221e-06
52.5	4.97731e-06
53	4.98228e-06
53.5	4.98716e-06
54	4.99192e-06
54.5	4.99659e-06
55	5.00117e-06
55.5	5.00566e-06
56	5.01006e-06
56.5	5.01438e-06
57	5.01862e-06
57.5	5.02278e-06
58	5.02687e-06
58.5	5.03089e-06
59	5.03484e-06
59.5	5.03872e-06
60	5.04253e-06
60.5	5.04627e-06
61	5.04995e-06
61.5	5.05356e-06
62	5.05712e-06
62.5	5.06061e-06
63	5.06404e-06
63.5	5.06741e-06
64	4.86372e-06
64.5	4.06653e-06
65	3.60258e-06
65.5	3.41422e-06
66	3.38662e-06
66.5	3.44515e-06
67	3.54472e-06
67.5	3.66121e-06
68	3.78078e-06
68.5	3.89659e-06
69	4.005e-06
69.5	4.10464e-06
70	4.19509e-06
70.5	4.27663e-06
71	4.34979e-06
71.5	4.41525e-06
72	4.47373e-06
72.5	4.52594e-06
73	4.57257e-06
73.5	4.61423e-06
74	4.65149e-06
74.5	4.68486e-06
75	4.7148e-06
75.5	4.74172e-06
76	4.76597e-06
76.5	4.78788e-06
77	4.80773e-06
77.5	4.82576e-06
78	4.84219e-06
78.5	4.85721e-06
79	4.87099e-06
79.5	4.88367e-06
80	4.89539e-06
80.5	4.90625e-06
81	4.91635e-06
81.5	4.92579e-06
82	4.93462e-06
82.5	4.94293e-06
83	4.95076e-06
83.5	4.95817e-06
84	4.96521e-06
84.5	4.9719e-06
85	4.97828e-06
85.5	4.98439e-06
86	4.99025e-06
86.5	4.99588e-06
87	5.0013e-06
87.5	5.00654e-06
88	5.01159e-06
88.5	5.01649e-06
89	5.02123e-06
89.5	5.02584e-06
90	5.03031e-06
90.5	5.03467e-06
91	5.03891e-06
91.5	5.04304e-06
92	5.04707e-06
92.5	5.051e-06
93	5.05484e-06
93.5	5.05859e-06
94	5.06226e-06
94.5	5.06585e-06
95	5.06936e-06
95.5	5.07279e-06
96	5.07615e-06
96.5	5.07944e-06
97	5.08266e-06
97.5	5.08581e-06
98	5.0889e-06
98.5	5.09192e-06
99	5.09489e-06
99.5	5.09779e-06
100	5.10063e-06
