t	v
32.7	-64.4943
32.8	-64.4921
32.9	-64.4899
33	-64.4878
33.1	-64.4859
33.2	-64.4841
33.3	-64.4823
33.4	-64.4807
33.5	-64.4792
33.6	-64.4778
33.7	-64.4765
33.8	-64.4754
33.9	-64.4743
34	-64.4733
34.1	-64.4724
34.2	-64.4717
34.3	-64.471
34.4	-64.4704
34.5	-64.47
34.6	-64.4696
34.7	-64.4693
34.8	-64.4691
34.9	-64.469
35	-64.469
35.1	-64.4691
35.2	-64.4693
35.3	-64.4695
35.4	-64.4699
35.5	-64.4703
35.6	-64.4708
35.7	-64.4714
35.8	-64.472
35.9	-64.4727
36	-64.4735
36.1	-64.4744
36.2	-64.4754
36.3	-64.4764
36.4	-64.4775
36.5	-64.4786
36.6	-64.4798
36.7	-64.4811
36.8	-64.4824
36.9	-64.4838
37	-64.4853
37.1	-64.4868
37.2	-64.4884
37.3	-64.49
37.4	-64.4916
37.5	-64.4933
37.6	-64.4951
37.7	-64.4969
37.8	-64.4988
37.9	-64.5007
38	-64.5026
38.1	-64.5046
38.2	-64.5066
38.3	-64.5087
38.4	-64.5108
38.5	-64.513
38.6	-64.5151
38.7	-64.5173
38.8	-64.5196
38.9	-64.5219
39	-64.5242
39.1	-64.5265
39.2	-64.5289
39.3	-64.5312
39.4	-64.5337
39.5	-64.5361
39.6	-64.5386
39.7	-64.541
39.8	-64.5435
39.9	-64.5461
40	-64.5486
40.1	-64.5512
40.2	-64.5538
40.3	-64.5564
40.4	-64.559
40.5	-64.5616
40.6	-64.5642
40.7	-64.5669
40.8	-64.5696
40.9	-64.5722
41	-64.5749
41.1	-64.5776
41.2	-64.5803
41.3	-64.5831
41.4	-64.5858
41.5	-64.5885
41.6	-64.5913
41.7	-64.594
41.8	-64.5968
41.9	-64.5995
42	-64.6023
42.1	-64.605
42.2	-64.6078
42.3	-64.6106
42.4	-64.6133
42.5	-64.6161
42.6	-64.6189
42.7	-64.6216
42.8	-64.6244
42.9	-64.6271
43	-64.6299
43.1	-64.6327
43.2	-64.6354
43.3	-64.6382
43.4	-64.6409
43.5	-64.6437
43.6	-64.6464
43.7	-64.6492
43.8	-64.6519
43.9	-64.6546
44	-64.6573
44.1	-64.66
44.2	-64.6628
44.3	-64.6655
44.4	-64.6681
44.5	-64.6708
44.6	-64.6735
44.7	-64.6762
44.8	-64.6788
44.9	-64.6815
45	-64.6841
45.1	-64.6868
45.2	-64.6894
45.3	-64.692
45.4	-64.6946
45.5	-64.6972
45.6	-64.6998
45.7	-64.7024
45.8	-64.7049
45.9	-64.7075
46	-64.71
46.1	-64.7125
46.2	-64.715
46.3	-64.7175
46.4	-64.72
46.5	-64.7225
46.6	-64.725
46.7	-64.7274
46.8	-64.7299
46.9	-64.7323
47	-64.7347
47.1	-64.7371
47.2	-64.7395
47.3	-64.7419
47.4	-64.7443
47.5	-64.7466
47.6	-64.7489
47.7	-64.7513
47.8	-64.7536
47.9	-64.7559
48	-64.7581
48.1	-64.7604
48.2	-64.7627
48.3	-64.7649
48.4	-64.7671
48.5	-64.7694
48.6	-64.7716
48.7	-64.7737
48.8	-64.7759
48.9	-64.7781
49	-64.7802
49.1	-64.7823
49.2	-64.7844
49.3	-64.7865
49.4	-64.7886
49.5	-64.7907
49.6	-64.7928
49.7	-64.7948
49.8	-64.7968
49.9	-64.7988
50	-64.8008
50.1	-64.8028
50.2	-64.8048
50.3	-64.8068
50.4	-64.8087
50.5	-64.8106
50.6	-64.8125
50.7	-64.8144
50.8	-64.8163
50.9	-64.8182
51	-64.8201
51.1	-64.8219
51.2	-64.8237
51.3	-64.8255
51.4	-64.8273
51.5	-64.8291
51.6	-64.8309
51.7	-64.8327
51.8	-64.8344
51.9	-64.8361
52	-64.8379
52.1	-64.8396
52.2	-64.8413
52.3	-64.8429
52.4	-64.8446
52.5	-64.8462
52.6	-64.8479
52.7	-64.8495
52.8	-64.8511
52.9	-64.8527
53	-64.8543
53.1	-64.8559
53.2	-64.8574
53.3	-64.859
53.4	-64.8605
53.5	-64.862
53.6	-64.8635
53.7	-64.865
53.8	-64.8665
53.9	-64.868
54	-64.8694
54.1	-64.8709
54.2	-64.8723
54.3	-64.8737
54.4	-64.8751
54.5	-64.8765
54.6	-64.8779
54.7	-64.8793
54.8	-64.8806
54.9	-64.882
55	-64.8833
55.1	-64.8846
55.2	-64.8859
55.3	-64.8872
55.4	-64.8885
55.5	-64.8898
55.6	-64.891
55.7	-64.8923
55.8	-64.8935
55.9	-64.8948
56	-64.896
56.1	-64.8972
56.2	-64.8984
56.3	-64.8996
56.4	-64.9007
56.5	-64.9019
56.6	-64.9031
56.7	-64.9042
56.8	-64.9053
56.9	-64.9064
57	-64.9076
57.1	-64.9087
57.2	-64.9097
57.3	-64.9108
57.4	-64.9119
57.5	-64.9129
57.6	-64.914
57.7	-64.915
57.8	-64.9161
57.9	-64.9171
58	-64.9181
58.1	-64.9191
58.2	-64.9201
58.3	-64.9211
58.4	-64.922
58.5	-64.923
58.6	-64.9239
58.7	-64.9249
58.8	-64.9258
58.9	-64.9267
59	-64.9277
59.1	-64.9286
59.2	-64.9295
59.3	-64.9304
59.4	-64.9312
59.5	-64.9321
59.6	-64.933
59.7	-64.9338
59.8	-64.9347
59.9	-64.9355
60	-64.9363
60.1	-64.9372
60.2	-64.938
60.3	-64.9388
60.4	-64.9396
60.5	-64.9404
60.6	-64.9412
60.7	-64.9419
60.8	-64.9427
60.9	-64.9435
61	-64.9442
61.1	-64.9449
61.2	-64.9457
61.3	-64.9464
61.4	-64.9471
61.5	-64.9478
61.6	-64.9486
61.7	-64.9493
61.8	-64.9499
61.9	-64.9506
62	-64.9513
62.1	-64.952
62.2	-64.9526
62.3	-64.9533
62.4	-64.954
62.5	-64.9546
62.6	-64.9552
62.7	-64.9559
62.8	-64.9565
62.9	-64.9571
63	-64.9577
63.1	-64.9583
63.2	-64.9589
63.3	-64.9595
63.4	-64.9601
63.5	-64.9607
63.6	-64.9613
63.7	-64.9618
63.8	-64.9624
63.9	-64.9629
64	-64.9635
64.1	-64.964
64.2	-64.9645
64.3	-64.9648
64.4	-64.9651
64.5	-64.9651
64.6	-64.965
64.7	-64.9647
64.8	-64.9642
64.9	-64.9634
65	-64.9624
65.1	-64.9611
65.2	-64.9596
65.3	-64.9578
65.4	-64.9558
65.5	-64.9535
65.6	-64.951
65.7	-64.9483
65.8	-64.9453
65.9	-64.9421
66	-64.9388
66.1	-64.9352
66.2	-64.9315
66.3	-64.9276
66.4	-64.9235
66.5	-64.9193
66.6	-64.915
66.7	-64.9106
66.8	-64.906
66.9	-64.9014
67	-64.8967
67.1	-64.8919
67.2	-64.8871
67.3	-64.8822
67.4	-64.8773
67.5	-64.8723
67.6	-64.8673
67.7	-64.8623
67.8	-64.8573
67.9	-64.8523
68	-64.8474
68.1	-64.8424
68.2	-64.8375
68.3	-64.8325
68.4	-64.8277
68.5	-64.8228
68.6	-64.8181
68.7	-64.8133
68.8	-64.8087
68.9	-64.8041
69	-64.7995
69.1	-64.7951
69.2	-64.7907
69.3	-64.7863
69.4	-64.7821
69.5	-64.7779
69.6	-64.7738
69.7	-64.7698
69.8	-64.7659
69.9	-64.7621
70	-64.7584
70.1	-64.7547
70.2	-64.7512
70.3	-64.7477
70.4	-64.7443
70.5	-64.7411
70.6	-64.7379
70.7	-64.7348
70.8	-64.7318
70.9	-64.7289
71	-64.7261
71.1	-64.7234
71.2	-64.7208
71.3	-64.7183
71.4	-64.7159
71.5	-64.7135
71.6	-64.7113
71.7	-64.7092
71.8	-64.7071
71.9	-64.7052
72	-64.7033
72.1	-64.7015
72.2	-64.6998
72.3	-64.6982
72.4	-64.6967
72.5	-64.6952
72.6	-64.6939
72.7	-64.6926
72.8	-64.6914
72.9	-64.6903
73	-64.6893
73.1	-64.6883
73.2	-64.6874
73.3	-64.6866
73.4	-64.6859
73.5	-64.6852
73.6	-64.6846
73.7	-64.6841
73.8	-64.6837
73.9	-64.6833
74	-64.683
74.1	-64.6827
74.2	-64.6825
74.3	-64.6824
74.4	-64.6823
74.5	-64.6823
74.6	-64.6824
74.7	-64.6825
74.8	-64.6827
74.9	-64.6829
75	-64.6831
75.1	-64.6835
75.2	-64.6838
75.3	-64.6843
75.4	-64.6847
75.5	-64.6852
75.6	-64.6858
75.7	-64.6864
75.8	-64.6871
75.9	-64.6878
76	-64.6885
76.1	-64.6893
76.2	-64.6901
76.3	-64.6909
76.4	-64.6918
76.5	-64.6927
76.6	-64.6937
76.7	-64.6947
76.8	-64.6957
76.9	-64.6967
77	-64.6978
77.1	-64.6989
77.2	-64.7001
77.3	-64.7013
77.4	-64.7025
77.5	-64.7037
77.6	-64.7049
77.7	-64.7062
77.8	-64.7075
77.9	-64.7088
78	-64.7102
78.1	-64.7115
78.2	-64.7129
78.3	-64.7143
78.4	-64.7157
78.5	-64.7172
78.6	-64.7186
78.7	-64.7201
78.8	-64.7216
78.9	-64.7231
79	-64.7246
79.1	-64.7261
79.2	-64.7276
79.3	-64.7292
79.4	-64.7308
79.5	-64.7323
79.6	-64.7339
79.7	-64.7355
79.8	-64.7371
79.9	-64.7387
80	-64.7404
80.1	-64.742
80.2	-64.7436
80.3	-64.7453
