1	0	12
1	0	10
1	0	10
1	0	2
1	0	14
1	0	0
1	0	5
1	0	8
1	0	13
1	0	3
2	0	18
2	0	17
2	0	16
2	0	15
2	0	15
2	0	18
2	0	15
2	0	16
3	0	23
3	0	32
3	0	23
3	0	23
3	0	20
3	0	22
3	0	27
3	0	28
3	0	29
3	0	28
5	0	57
5	0	56
5	0	69
5	0	64
5	0	68
5	0	71
5	0	55
5	0	62
5	0	62
5	0	55
9	0	98
10	0	104
10	0	101
10	0	99
10	0	103
10	0	110
10	0	103
11	0	125
11	0	126
12	0	123
12	0	119
14	0	135
14	0	136
13	0	135
13	0	143
15	0	133
15	0	147
1	1	11
1	1	7
1	1	11
1	1	14
1	1	14
1	1	7
1	1	2
1	1	9
1	1	8
1	1	0
2	1	16
2	1	17
2	1	18
2	1	15
2	1	15
2	1	16
2	1	15
2	1	15
3	1	29
3	1	32
3	1	26
3	1	19
3	1	22
3	1	33
3	1	32
3	1	21
3	1	30
3	1	21
5	1	58
5	1	66
5	1	69
5	1	72
5	1	60
5	1	73
5	1	63
5	1	61
5	1	60
5	1	68
9	1	98
10	1	111
10	1	111
10	1	102
10	1	99
10	1	111
10	1	108
12	1	118
12	1	125
11	1	126
11	1	118
14	1	135
14	1	147
15	1	131
15	1	135
13	1	130
13	1	136
1	2	10
1	2	8
1	2	15
1	2	12
1	2	13
1	2	2
1	2	2
1	2	16
1	2	16
1	2	2
2	2	22
2	2	19
2	2	20
2	2	17
2	2	17
2	2	22
2	2	22
2	2	21
3	2	34
3	2	24
3	2	35
3	2	36
3	2	35
3	2	23
3	2	39
3	2	26
3	2	33
3	2	32
5	2	76
5	2	86
5	2	86
5	2	71
5	2	82
5	2	81
5	2	64
5	2	79
5	2	81
5	2	68
9	2	118
10	2	130
10	2	124
10	2	125
10	2	128
10	2	126
10	2	133
11	2	142
11	2	149
12	2	139
12	2	148
14	2	157
14	2	157
13	2	163
13	2	173
15	2	166
15	2	169
1	3	4
1	3	0
1	3	3
1	3	8
1	3	12
1	3	10
1	3	10
1	3	0
1	3	5
1	3	1
2	3	17
2	3	17
2	3	15
2	3	18
2	3	15
2	3	17
2	3	18
2	3	16
3	3	20
3	3	24
3	3	33
3	3	25
3	3	30
3	3	27
3	3	23
3	3	31
3	3	29
3	3	21
9	3	98
10	3	112
10	3	110
10	3	104
10	3	108
10	3	109
10	3	107
12	3	125
12	3	125
11	3	128
11	3	117
3	4	27
3	4	19
3	4	23
3	4	32
3	4	32
3	4	32
3	4	21
3	4	31
3	4	30
3	4	33
4	4	38
4	4	52
4	4	43
4	4	43
4	4	42
4	4	34
4	4	50
4	4	41
4	4	42
4	4	34
5	4	57
5	4	56
5	4	60
5	4	70
5	4	73
5	4	70
5	4	70
5	4	69
5	4	56
5	4	71
14	4	140
14	4	117
13	4	125
13	4	142
15	4	110
15	4	135
1	5	2
1	5	3
1	5	1
1	5	2
1	5	3
1	5	1
1	5	3
1	5	3
1	5	1
1	5	0
2	5	4
2	5	4
2	5	4
2	5	4
2	5	4
2	5	4
2	5	4
2	5	4
3	5	6
3	5	7
3	5	6
3	5	8
3	5	6
3	5	7
3	5	5
3	5	6
3	5	8
3	5	6
5	5	9
5	5	10
5	5	10
5	5	10
5	5	10
5	5	10
5	5	9
5	5	10
5	5	10
5	5	9
10	5	16
10	5	18
10	5	16
10	5	17
10	5	16
10	5	16
6	6	2253
7	6	2620
7	7	2206
6	7	2634
8	8	2434
11	6	3177
11	6	3195
12	6	3258
12	6	3487
11	7	3184
11	7	3329
12	7	3281
12	7	3263
12	8	3524
12	8	3436
11	8	3318
11	8	3248
13	6	3827
13	6	3889
14	6	3924
14	6	3728
15	6	3723
15	6	3975
13	7	4023
13	7	3677
14	7	3736
14	7	3768
15	7	4018
15	7	3938
15	8	3604
15	8	4096
14	8	3883
14	8	3713
13	8	4023
13	8	4042
1	9	3
1	9	3
1	9	3
1	9	6
1	9	1
1	9	13
1	9	10
1	9	2
1	9	9
1	9	12
2	9	15
2	9	15
2	9	16
2	9	17
2	9	18
2	9	17
2	9	16
2	9	16
3	9	22
3	9	21
3	9	27
3	9	28
3	9	29
3	9	30
3	9	25
3	9	31
3	9	25
3	9	26
5	9	69
5	9	72
5	9	58
5	9	63
5	9	65
5	9	64
5	9	54
5	9	72
5	9	59
5	9	71
9	9	98
10	9	105
10	9	110
10	9	103
10	9	109
10	9	103
10	9	109
11	9	126
11	9	114
12	9	117
12	9	125
1	10	3
1	10	4
1	10	5
1	10	6
1	10	2
1	10	11
1	10	13
1	10	9
1	10	3
1	10	13
2	10	22
2	10	24
2	10	19
2	10	22
2	10	23
2	10	20
2	10	21
2	10	19
3	10	27
3	10	31
3	10	42
3	10	32
3	10	29
3	10	38
3	10	36
3	10	37
3	10	32
3	10	42
5	10	85
5	10	69
5	10	68
5	10	81
5	10	67
5	10	72
5	10	81
5	10	68
5	10	78
5	10	79
9	10	116
10	10	117
10	10	119
10	10	129
10	10	124
10	10	133
10	10	118
11	10	152
11	10	136
12	10	148
12	10	140
14	10	172
14	10	172
13	10	176
13	10	159
15	10	170
15	10	162
