t	v
0	-62.9601
0.1	-62.9601
0.2	-62.9601
0.3	-62.9601
0.4	-62.9601
0.5	-62.9601
0.6	-62.9601
0.7	-62.9601
0.8	-62.9601
0.9	-62.9601
1	-62.9601
1.1	-62.9601
1.2	-62.9601
1.3	-62.9601
1.4	-62.9601
1.5	-62.9601
1.6	-62.9601
1.7	-62.9601
1.8	-62.9601
1.9	-62.9601
2	-62.9601
2.1	-62.9601
2.2	-62.9601
2.3	-62.9601
2.4	-62.9601
2.5	-62.9601
2.6	-62.9601
2.7	-62.9601
2.8	-62.9601
2.9	-62.9601
3	-62.9601
3.1	-62.9601
3.2	-62.9601
3.3	-62.9601
3.4	-62.9601
3.5	-62.9601
3.6	-62.9601
3.7	-62.9601
3.8	-62.9601
3.9	-62.9601
4	-62.9601
4.1	-62.9601
4.2	-62.9601
4.3	-62.9601
4.4	-62.9601
4.5	-62.9601
4.6	-62.9601
4.7	-62.9601
4.8	-62.9601
4.9	-62.9601
5	-62.9601
5.1	-62.9601
5.2	-62.9601
5.3	-62.9601
5.4	-62.9601
5.5	-62.9601
5.6	-62.9601
5.7	-62.9601
5.8	-62.9601
5.9	-62.9601
6	-62.9601
6.1	-62.9601
6.2	-62.9601
6.3	-62.9601
6.4	-62.9601
6.5	-62.9601
6.6	-62.9601
6.7	-62.9601
6.8	-62.9601
6.9	-62.9601
7	-62.9601
7.1	-62.9601
7.2	-62.9601
7.3	-62.9601
7.4	-62.9601
7.5	-62.9601
7.6	-62.9601
7.7	-62.9601
7.8	-62.9601
7.9	-62.9601
8	-62.9601
8.1	-62.9601
8.2	-62.9601
8.3	-62.9601
8.4	-62.9601
8.5	-62.9601
8.6	-62.9601
8.7	-62.9601
8.8	-62.9601
8.9	-62.9601
9	-62.9601
9.1	-62.9601
9.2	-62.9601
9.3	-62.9601
9.4	-62.9601
9.5	-62.9601
9.6	-62.9601
9.7	-62.9601
9.8	-62.9601
9.9	-62.9601
10	-62.9601
10.1	-62.9601
10.2	-62.9601
10.3	-62.9601
10.4	-62.9601
10.5	-62.9601
10.6	-62.9601
10.7	-62.9601
10.8	-62.9601
10.9	-62.9601
11	-62.9601
11.1	-62.9601
11.2	-62.9601
11.3	-62.9601
11.4	-62.9601
11.5	-62.9601
11.6	-62.9601
11.7	-62.9601
11.8	-62.9601
11.9	-62.9601
12	-62.9601
12.1	-62.9601
12.2	-62.9601
12.3	-62.9601
12.4	-62.9601
12.5	-62.9601
12.6	-62.9601
12.7	-62.9601
12.8	-62.9601
12.9	-62.9601
13	-62.9601
13.1	-62.9601
13.2	-62.9601
13.3	-62.9601
13.4	-62.9601
13.5	-62.9601
13.6	-62.9601
13.7	-62.9601
13.8	-62.9601
13.9	-62.9601
14	-62.9601
14.1	-62.9601
14.2	-62.9601
14.3	-62.9601
14.4	-62.9601
14.5	-62.9601
14.6	-62.9601
14.7	-62.9601
14.8	-62.9601
14.9	-62.9601
15	-62.9601
15.1	-62.9601
15.2	-62.9601
15.3	-62.9601
15.4	-62.9601
15.5	-62.9601
15.6	-62.9601
15.7	-62.9601
15.8	-62.9601
15.9	-62.9601
16	-62.9601
16.1	-62.9601
16.2	-62.9601
16.3	-62.9601
16.4	-62.9601
16.5	-62.9601
16.6	-62.9601
16.7	-62.9601
16.8	-62.9601
16.9	-62.9601
17	-62.9601
17.1	-62.9601
17.2	-62.9601
17.3	-62.9601
17.4	-62.9601
17.5	-62.9601
17.6	-62.9601
17.7	-62.9601
17.8	-62.9601
17.9	-62.9601
18	-62.9601
18.1	-62.9601
18.2	-62.9601
18.3	-62.9601
18.4	-62.9601
18.5	-62.9601
18.6	-62.9601
18.7	-62.9601
18.8	-62.9601
18.9	-62.9601
19	-62.9601
19.1	-62.9601
19.2	-62.9601
19.3	-62.9601
19.4	-62.9601
19.5	-62.9601
19.6	-62.9601
19.7	-62.9601
19.8	-62.9601
19.9	-62.9601
20	-62.9601
20.1	-62.9601
20.2	-62.96
20.3	-62.96
20.4	-62.96
20.5	-62.9599
20.6	-62.9599
20.7	-62.9598
20.8	-62.9598
20.9	-62.9597
21	-62.9596
21.1	-62.9595
21.2	-62.9594
21.3	-62.9593
21.4	-62.9592
21.5	-62.959
21.6	-62.9589
21.7	-62.9588
21.8	-62.9586
21.9	-62.9584
22	-62.9582
22.1	-62.958
22.2	-62.9578
22.3	-62.9576
22.4	-62.9574
22.5	-62.9571
22.6	-62.9569
22.7	-62.9566
22.8	-62.9564
22.9	-62.9561
23	-62.9558
23.1	-62.9555
23.2	-62.9552
23.3	-62.9549
23.4	-62.9546
23.5	-62.9543
23.6	-62.9539
23.7	-62.9536
23.8	-62.9532
23.9	-62.9529
24	-62.9525
24.1	-62.9522
24.2	-62.9518
24.3	-62.9514
24.4	-62.9511
24.5	-62.9507
24.6	-62.9503
24.7	-62.9499
24.8	-62.9495
24.9	-62.9491
25	-62.9487
25.1	-62.9483
25.2	-62.9479
25.3	-62.9475
25.4	-62.9471
25.5	-62.9467
25.6	-62.9463
25.7	-62.9459
25.8	-62.9455
25.9	-62.9451
26	-62.9447
26.1	-62.9443
26.2	-62.9439
26.3	-62.9435
26.4	-62.9431
26.5	-62.9426
26.6	-62.9421
26.7	-62.9415
26.8	-62.9406
26.9	-62.9395
27	-62.9381
27.1	-62.9365
27.2	-62.9345
27.3	-62.9323
27.4	-62.9298
27.5	-62.9271
27.6	-62.9243
27.7	-62.9213
27.8	-62.9181
27.9	-62.9148
28	-62.9115
28.1	-62.9081
28.2	-62.9046
28.3	-62.9012
28.4	-62.8977
28.5	-62.8942
28.6	-62.8908
28.7	-62.8874
28.8	-62.8841
28.9	-62.8808
29	-62.8775
29.1	-62.8743
29.2	-62.8712
29.3	-62.8682
29.4	-62.8653
29.5	-62.8624
29.6	-62.8596
29.7	-62.8569
29.8	-62.8543
29.9	-62.8517
30	-62.8493
30.1	-62.8469
30.2	-62.8446
30.3	-62.8424
30.4	-62.8403
30.5	-62.8382
30.6	-62.8362
30.7	-62.8343
30.8	-62.8325
30.9	-62.8307
31	-62.829
31.1	-62.8274
31.2	-62.8258
31.3	-62.8243
31.4	-62.8228
31.5	-62.8215
31.6	-62.8201
31.7	-62.8189
31.8	-62.8176
31.9	-62.8165
32	-62.8154
32.1	-62.8143
32.2	-62.8133
32.3	-62.8123
32.4	-62.8114
32.5	-62.8105
32.6	-62.8097
32.7	-62.8089
32.8	-62.8082
32.9	-62.8075
33	-62.8068
33.1	-62.8061
33.2	-62.8055
33.3	-62.805
33.4	-62.8044
33.5	-62.8039
33.6	-62.8035
33.7	-62.803
33.8	-62.8026
33.9	-62.8023
34	-62.8019
34.1	-62.8016
34.2	-62.8013
34.3	-62.801
34.4	-62.8008
34.5	-62.8006
34.6	-62.8004
34.7	-62.8002
34.8	-62.8
34.9	-62.7999
35	-62.7998
35.1	-62.7997
35.2	-62.7996
35.3	-62.7996
35.4	-62.7996
35.5	-62.7996
35.6	-62.7996
35.7	-62.7996
35.8	-62.7997
35.9	-62.7997
36	-62.7998
36.1	-62.7999
36.2	-62.8
36.3	-62.8001
36.4	-62.8003
36.5	-62.8004
36.6	-62.8006
36.7	-62.8008
36.8	-62.801
36.9	-62.8012
37	-62.8014
37.1	-62.8017
37.2	-62.8019
37.3	-62.8022
37.4	-62.8025
37.5	-62.8027
37.6	-62.803
37.7	-62.8033
37.8	-62.8037
37.9	-62.804
38	-62.8043
38.1	-62.8047
38.2	-62.805
38.3	-62.8054
38.4	-62.8058
38.5	-62.8062
38.6	-62.8066
38.7	-62.807
38.8	-62.8074
38.9	-62.8078
39	-62.8082
39.1	-62.8087
39.2	-62.8091
39.3	-62.8096
39.4	-62.81
39.5	-62.8105
39.6	-62.811
39.7	-62.8115
39.8	-62.8119
39.9	-62.8124
40	-62.8129
40.1	-62.8134
40.2	-62.814
40.3	-62.8145
40.4	-62.815
40.5	-62.8155
40.6	-62.8161
40.7	-62.8166
40.8	-62.8172
40.9	-62.8177
41	-62.8183
41.1	-62.8188
41.2	-62.8194
41.3	-62.8199
41.4	-62.8205
41.5	-62.8211
41.6	-62.8217
41.7	-62.8223
41.8	-62.8229
41.9	-62.8234
42	-62.824
42.1	-62.8246
42.2	-62.8252
42.3	-62.8258
42.4	-62.8265
42.5	-62.8271
42.6	-62.8277
42.7	-62.8283
42.8	-62.8289
42.9	-62.8295
43	-62.8302
43.1	-62.8308
43.2	-62.8314
43.3	-62.8321
43.4	-62.8327
43.5	-62.8333
43.6	-62.834
43.7	-62.8346
43.8	-62.8353
43.9	-62.8359
44	-62.8365
44.1	-62.8372
44.2	-62.8378
44.3	-62.8385
44.4	-62.8391
44.5	-62.8398
44.6	-62.8405
44.7	-62.8411
44.8	-62.8418
44.9	-62.8424
45	-62.8431
45.1	-62.8437
45.2	-62.8444
45.3	-62.8451
45.4	-62.8457
45.5	-62.8464
45.6	-62.847
45.7	-62.8477
45.8	-62.8484
45.9	-62.849
46	-62.8497
46.1	-62.8504
46.2	-62.851
46.3	-62.8517
46.4	-62.8523
46.5	-62.853
46.6	-62.8537
46.7	-62.8543
46.8	-62.855
46.9	-62.8557
47	-62.8563
47.1	-62.857
47.2	-62.8576
47.3	-62.8583
47.4	-62.859
47.5	-62.8596
47.6	-62.8603
47.7	-62.8609
47.8	-62.8616
47.9	-62.8623
48	-62.8629
48.1	-62.8636
48.2	-62.8642
48.3	-62.8649
48.4	-62.8655
48.5	-62.8662
48.6	-62.8668
48.7	-62.8675
48.8	-62.8681
48.9	-62.8688
49	-62.8694
49.1	-62.8701
49.2	-62.8707
49.3	-62.8713
49.4	-62.872
49.5	-62.8726
49.6	-62.8733
49.7	-62.8739
49.8	-62.8745
49.9	-62.8752
50	-62.8758
50.1	-62.8764
50.2	-62.877
50.3	-62.8777
50.4	-62.8783
50.5	-62.8789
50.6	-62.8795
50.7	-62.8802
50.8	-62.8808
50.9	-62.8814
51	-62.882
51.1	-62.8826
51.2	-62.8832
51.3	-62.8839
51.4	-62.8845
51.5	-62.8851
51.6	-62.8857
51.7	-62.8863
51.8	-62.8869
51.9	-62.8875
52	-62.8881
52.1	-62.8887
52.2	-62.8893
52.3	-62.8898
52.4	-62.8904
52.5	-62.891
52.6	-62.8916
52.7	-62.8922
52.8	-62.8928
52.9	-62.8933
53	-62.8939
53.1	-62.8945
53.2	-62.8951
53.3	-62.8956
53.4	-62.8962
53.5	-62.8968
53.6	-62.8973
53.7	-62.8979
53.8	-62.8984
53.9	-62.899
54	-62.8996
54.1	-62.9001
54.2	-62.9007
54.3	-62.9012
54.4	-62.9017
54.5	-62.9023
54.6	-62.9028
54.7	-62.9034
54.8	-62.9039
54.9	-62.9044
55	-62.905
55.1	-62.9055
55.2	-62.906
55.3	-62.9065
55.4	-62.9071
55.5	-62.9076
55.6	-62.9081
55.7	-62.9086
55.8	-62.9091
55.9	-62.9096
56	-62.9101
56.1	-62.9106
56.2	-62.9111
56.3	-62.9116
56.4	-62.9121
56.5	-62.9126
56.6	-62.9131
56.7	-62.9136
56.8	-62.9141
56.9	-62.9146
57	-62.9151
57.1	-62.9156
57.2	-62.916
57.3	-62.9165
57.4	-62.917
57.5	-62.9175
57.6	-62.9179
57.7	-62.9184
57.8	-62.9188
